12,31,102,103	67,36,57,45	15399 |	(3 3 29 59 )
12,81,136,145	113,32,74,62	69096 |	(2 2 2 3 2879 )
12,86,159,167	163,4,49,37	17439 |	(3 5813 )
12,238,315,355	335,20,125,113	478875 |	(3 5 5 5 1277 )
12,457,5640,5641	3049,2592,2826,2814	1622890728 |	(2 2 2 3 3 3 3 197 12713 )
12,496,765,829	797,32,254,242	4713816 |	(2 2 2 3 197 997 )
12,524,547,675	611,64,268,256	5505600 |	(2 2 2 2 2 2 3 5 5 31 37 )
12,613,1740,1765	1189,576,876,864	151290432 |	(2 2 2 2 2 2 3 3 262657 )
12,716,913,1041	977,64,364,352	14451264 |	(2 2 2 2 2 2 3 3 3 8363 )
12,2965,8016,8149	5557,2592,4014,4002	15560597016 |	(2 2 2 )
12,5722,12699,13075	12887,188,2867,2855	7754844477 |	()
12,5937,10807,11374	5693,5681,8372,2435	13452539529 |	(3 3 63070849 )
12,6281,11967,12518	6265,6253,9124,2843	8759366957 |	(3 5 59 191449 )
12,6737,7023,8672	4342,4330,6880,143	74864514920 |	(2 2 2 3 3 3 19 450797 )
12,6737,9391,10428	5220,5208,8064,1327	55617383808 |	(2 2 2 2 2 2 2 )
12,6912,13535,14111	13823,288,3462,3450	13679912952 |	(2 2 2 3 33125461 )
12,7534,14903,15519	15211,308,3773,3761	17723527899 |	(5 71 83 18451 )
13,51,104,108	106,2,32,19	3016 |	(2 2 2 13 29 )
13,65,121,127	124,3,39,26	6582 |	(2 3 1097 )
13,534,7124,7125	3569,3556,3829,3295	-3013310979 |	(1123 1141279 )
13,806,7626,7629	3821,3808,4216,3410	-5014620832 |	(2 2 2 2 2 )
13,1019,7664,7670	7667,3,516,503	42421899 |	(3 13 1087741 )
13,4604,5811,6648	5626,1022,2912,2899	7765439416 |	(2 2 2 )
13,4987,28730,28780	28755,25,2500,2487	5127500625 |	(2719 306191 )
13,8243,17524,18112	17818,294,4128,4115	23218270296 |	(2 2 2 41 89 59723 )
14,23,70,71	47,24,42,28	3624 |	(2 2 2 3 151 )
14,189,264,293	241,52,139,125	605087 |	(7 86441 )
14,301,771,786	400,386,536,235	-5754560 |	(2 2 2 2 2 2 )
14,361,1015,1030	522,508,688,327	-16361616 |	(2 2 2 2 )
14,545,823,896	455,441,684,139	26266041 |	(3 3 37 78877 )
14,589,1302,1341	965,376,658,644	71311784 |	(2 2 2 47 89 2131 )
14,617,8848,8849	4733,4116,4431,4417	5481383187 |	(22273 53267 )
14,1986,2695,3015	2855,160,1000,986	318164000 |	(2 2 2 2 2 5 5 5 7 11 1033 )
14,2109,2331,2804	1409,1395,2220,111	2222414595 |	()
14,2333,2812,3269	2801,468,1413,1399	878541237 |	(3 3 7 7 659 3023 )
14,2506,3063,3543	3303,240,1260,1246	640204560 |	(2 2 2 2 3 3 3 3 5 31 3187 )
14,5542,34357,34405	34381,24,2778,2764	7038702888 |	(2 2 2 )
14,8143,24724,25015	16579,8436,12369,12355	428528151921 |	()
15,42,49,58	50,8,32,17	2592 |	(2 2 2 2 2 3 3 3 3 )
15,64,297,298	181,117,156,141	401661 |	(3 3 13 3433 )
15,82,89,108	95,13,52,37	17277 |	(3 13 443 )
15,114,230,239	127,112,172,58	90576 |	(2 2 2 2 3 3 17 37 )
15,213,281,317	299,18,114,99	322614 |	(2 3 3 17923 )
15,276,878,887	451,436,577,301	-11528793 |	()
15,346,1401,1408	877,531,708,693	61031547 |	(3 3 17 59 6761 )
15,383,423,509	466,43,199,184	2051124 |	(2 2 3 170927 )
15,521,1828,1842	1835,7,268,253	5399103 |	(3 1799701 )
15,593,1086,1142	1114,28,304,289	8039664 |	(2 2 2 2 3 3 31 1801 )
15,614,745,864	739,125,380,365	15559125 |	(3 5 5 5 41491 )
15,651,671,833	752,81,333,318	10543122 |	(2 3 3 3 3 151 431 )
15,706,10830,10831	5423,5408,5768,5062	-9368361056 |	(2 2 2 2 2 )
15,761,2364,2390	2377,13,388,373	17298765 |	(3 3 3 3 5 11 11 353 )
15,921,1186,1348	1267,81,468,453	30810537 |	(3 3 3 3 380377 )
15,1048,1452,1615	815,800,1250,202	215755000 |	(2 2 2 5 5 5 5 43151 )
15,1537,3062,3186	3124,62,776,761	146825376 |	(2 2 2 2 2 3 23 29 2293 )
15,1795,2651,2901	2776,125,905,890	234339750 |	(2 3 3 3 5 5 5 149 233 )
15,2968,6321,6532	4750,1782,3168,3153	8562160728 |	(2 2 2 )
15,3121,4752,5164	4958,206,1568,1553	1245600312 |	(2 2 2 3 11 4718183 )
15,3313,27516,27532	27524,8,1664,1649	1494655104 |	(2 2 2 2 2 2 2 3 3892331 )
15,3336,10226,10343	5179,5164,6781,3445	-19898835921 |	(7 225142937 )
15,4388,11178,11399	5707,5692,7783,3395	-20264846647 |	(13 79 127 9277 )
15,4483,9143,9489	9316,173,2249,2234	3714724854 |	(2 *)
15,5650,5913,7288	6469,819,2964,2949	8365642155 |	()
15,9659,26091,26525	26308,217,4837,4822	37369801770 |	(2 *)
16,23,41,44	30,14,32,9	3384 |	(2 2 2 3 3 47 )
16,47,108,111	79,32,62,46	22888 |	(2 2 2 2861 )
16,51,213,214	115,99,132,81	-102069 |	()
16,213,675,682	349,333,444,231	-4978683 |	()
16,363,1101,1114	565,549,732,369	-22464531 |	()
16,470,657,729	693,36,243,227	3884841 |	(3 3 3 3 3 3 73 73 )
16,593,850,937	765,172,433,417	22475787 |	(3 7491929 )
16,801,13088,13089	6945,6144,6552,6536	15761696256 |	(2 2 2 2 2 2 2 2 2 )
16,1101,3195,3238	1627,1611,2148,1047	-566232669 |	()
16,1377,1991,2190	1103,1087,1684,307	451846191 |	(3 67 2247991 )
16,2234,5505,5625	5565,60,1125,1109	454575375 |	(3 3 3 5 5 5 367 367 )
16,2685,13187,13224	6620,6604,7936,5251	-41292146496 |	(2 2 2 2 2 2 11 23 102367 )
16,3351,7494,7711	5531,2180,3755,3739	13970481505 |	(127 8547871 )
16,3611,4581,5232	2624,2608,4096,485	9820110848 |	(2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 6257 )
16,4041,11535,11698	5857,5841,7788,3747	-26894294559 |	()
16,5340,7391,8223	7807,416,2678,2662	6263864776 |	(2 2 2 3 5 11 11 135599 )
16,5745,14340,14641	10193,4448,7178,7162	93122338744 |	(2 2 2 )
16,6158,21441,21609	21525,84,3087,3071	9654046101 |	(1223 870083 )
16,6289,13271,13726	6871,6855,9780,3491	-10279620345 |	()
16,9435,25392,25819	17627,8192,12704,12688	497608744960 |	(2 2 2 2 2 2 2 2 2 2 2 2 2 )
17,40,86,89	53,36,63,23	9837 |	(3 3 1093 )
17,57,177,179	178,1,37,20	4304 |	(2 2 2 2 269 )
17,135,640,642	641,1,76,59	70097 |	(191 367 )
17,175,380,392	386,6,96,79	165912 |	(2 2 2 3 31 223 )
17,191,274,302	288,14,104,87	220224 |	(2 2 2 2 2 2 3 31 37 )
17,495,1108,1140	1124,16,256,239	4550912 |	(2 2 2 2 2 2 2 2 29 613 )
17,519,640,738	689,49,268,251	5233505 |	(5 1046701 )
17,564,807,890	727,163,412,395	19101347 |	(19101347 *)
17,631,2148,2166	2157,9,324,307	9646209 |	(3 3 3 3 119089 )
17,687,694,870	782,88,352,335	12306272 |	(2 2 2 2 2 11 34961 )
17,696,2199,2222	1459,763,1108,1091	284802179 |	(284802179 *)
17,902,15640,15641	7829,7812,8271,7369	-25286372037 |	(3 7 3371 6829 )
17,2194,10312,10345	5181,5164,6253,4059	-20090918727 |	(9281 149113 )
17,2272,5879,5990	4131,1859,2948,2931	6251680875 |	(509 769 4999 )
17,2358,6735,6830	4594,2236,3376,3359	8906627312 |	(2 2 2 2 3 3 3 5 146617 )
17,3537,23805,23831	23818,13,1777,1760	1817259572 |	(2 2 454314893 )
17,3739,38099,38111	38105,6,1878,1861	2148415026 |	(2 *)
17,5163,10797,11177	10987,190,2590,2573	5675750810 |	(2 11 11 853 6689 )
18,19,21,28	23,5,20,1	2245 |	(5 449 )
18,121,167,186	102,84,144,23	397008 |	(2 2 2 2 3 3 3 919 )
18,137,412,417	277,140,215,197	1635735 |	(3 5 109049 )
18,167,193,228	123,105,180,13	1167345 |	(3 3 3 5 8647 )
18,193,423,436	227,209,308,115	-139799 |	()
18,349,426,493	421,72,222,204	2707416 |	(2 2 2 3 3 31 1213 )
18,349,3764,3765	2057,1708,1891,1873	529348179 |	(3 61 601 4813 )
18,705,1330,1393	1049,344,674,656	80532888 |	(2 2 2 3 229 14653 )
18,1009,18504,18505	9757,8748,9261,9243	40065024249 |	(3 3 5 13 641 3761 )
18,1371,3661,3724	1871,1853,2516,1145	-761455347 |	()
18,1847,7729,7764	3891,3873,4788,2941	-8785501191 |	()
18,1879,2720,2991	2435,556,1369,1351	764657589 |	(3 11069 23027 )
18,1879,4884,4975	3427,1548,2451,2433	3564214659 |	()
18,2091,5045,5162	2590,2572,3568,1477	-1549898448 |	(2 2 2 2 )
18,3275,4020,4643	3959,684,2019,2001	2563999443 |	()
18,3568,13073,13161	13117,44,1793,1775	1864093341 |	(3 11 89 191 3323 )
18,4067,18541,18606	9312,9294,11304,7237	-118833051456 |	(2 2 2 2 2 2 7 59 53951 )
18,6499,13125,13636	6827,6809,9812,3313	-1606826111 |	()
18,7853,11331,12470	6244,6226,9592,1739	82737158240 |	(2 2 2 2 2 43 823241 )
18,9439,50658,50767	30103,20664,25338,25320	2469722086296 |	(2 2 2 47 193 1597 )
19,53,90,96	93,3,36,17	3915 |	(3 3 3 5 29 )
19,60,69,82	71,11,44,25	7051 |	(11 641 )
19,92,101,122	107,15,60,41	24135 |	(3 5 1609 )
19,93,258,262	260,2,56,37	19168 |	(2 2 2 2 2 599 )
19,203,679,685	682,3,111,92	261840 |	(2 2 2 2 3 5 1091 )
19,362,365,458	410,48,192,173	1691328 |	(2 2 2 2 2 2 3 23 383 )
19,388,1325,1336	862,474,672,653	57318504 |	(2 2 2 3 31 77041 )
19,528,557,684	606,78,288,269	6332472 |	(2 2 2 3 3 3 19 1543 )
19,599,1285,1327	1306,21,309,290	8128866 |	(2 3 1354811 )
19,1038,1268,1467	743,724,1153,115	246801441 |	(3 179 459593 )
19,1052,2733,2784	1918,866,1376,1357	616463752 |	(2 2 2 457 168617 )
19,1122,21698,21699	10859,10840,11410,10288	-61145342760 |	(2 2 2 )
19,1611,4427,4497	4462,35,815,796	168107440 |	(2 2 2 2 5 19 110597 )
19,1640,8357,8378	5009,3369,4188,4169	11406957753 |	()
19,3730,27413,27436	15583,11853,13716,13697	301464473085 |	(5 17 9608969 )
19,4834,11072,11371	5695,5676,7953,3119	-13187551971 |	()
19,4841,8097,8637	8367,270,2430,2411	4665092130 |	(2 89 2079353 )
19,4908,8810,9291	4655,4636,6859,1951	8671086069 |	(11 151 48857 )
19,5146,36008,36043	18031,18012,20577,15431	-677678205867 |	(926626901 *)
19,5700,14957,15228	10464,4764,7488,7469	102847684608 |	(2 2 2 2 2 2 2 2 2 2 2 2 2 )
19,6524,12709,13258	9891,3367,6364,6345	72424296207 |	()
19,6618,37941,38008	22313,15695,18980,18961	983550939055 |	(3 3 3 7 11 17 97 )
19,7377,18377,18765	18571,194,3698,3679	16596040438 |	(2 *)
19,7765,10034,11392	10713,679,3892,3873	19260819879 |	(5 41 761 13339 )
19,9696,11742,13627	6823,6804,10719,1023	199209259413 |	(1640763797 *)
19,9948,15456,16723	8371,8352,12702,2754	140922475416 |	(2 2 2 )
20,54,79,87	83,4,37,17	4283 |	(4283 *)
20,89,487,488	254,234,288,199	-1409112 |	(2 2 2 )
20,109,379,382	201,181,244,135	-724779 |	()
20,151,353,362	191,171,252,101	-175653 |	()
20,198,565,573	569,4,109,89	237635 |	(5 47527 )
20,322,669,693	681,12,171,151	1149741 |	(3 3 3 97 439 )
20,646,1081,1153	1117,36,333,313	10208547 |	(3 3 1134283 )
20,1241,25240,25241	13241,12000,12630,12610	92380863000 |	(2 2 2 )
20,3623,47584,47591	25607,21984,23802,23782	941974161288 |	(2 2 2 3 79 725909 )
20,5077,21611,21704	10862,10842,13344,8267	-192869168664 |	(2 2 2 3 223 75553 )
21,43,84,88	86,2,32,11	3528 |	(2 2 2 3 3 7 7 )
21,46,188,189	105,84,117,71	-45819 |	()
21,198,532,541	281,260,365,167	-1718715 |	()
21,435,581,653	617,36,228,207	2944116 |	(2 2 3 3 7 7 1669 )
21,490,491,618	554,64,256,235	4241664 |	(2 2 2 2 2 2 2 2 3 3 7 263 )
