2087,1688,1511,940 : 282 : 11036

3057,2670,2057,940
7134,7071,2057,940 : 283 : 11038

9482,9473,1167,942
10812,9473,7447,942 : 284 : 11067

1604,1357,1094,683
1670,1357,1094,947 : 285 : 11113

19687,19354,7242,951
44911,44848,7242,951 : 286 : 11148

1618,1341,1218,259
1618,1341,987,952 : 287 : 11150

1485,1285,1046,204
1605,1285,1046,954 : 288 : 11176

2194,1830,1627,501
2194,1752,1627,957 : 289 : 11210

6538,5511,4809,958
24780,24719,4809,958 : 290 : 11229

5387,5363,1136,850
5387,5363,1058,964 : 291 : 11270

3109,3021,1282,720
3109,3021,1156,978 : 292 : 11436

1917,1669,1338,68
1917,1669,1130,984 : 293 : 11500

44361,44353,3606,692
44361,44353,3590,984 : 294 : 11505

33515,33491,4322,436
33515,33491,4306,992 : 295 : 11586

10701,9470,7212,997
10701,8520,8462,997 : 296 : 11647

1632,1409,1138,423
1740,1409,1138,999 : 297 : 11658

1731,1500,1219,68
1731,1332,1219,1004 : 298 : 11704

7074,7050,1513,503
7074,7044,1513,1007 : 299 : 11735

3450,3376,1161,1007
3511,3376,1558,1007 : 300 : 11736

10559,8770,7946,1007
10631,8770,8072,1007 : 301 : 11743

7062,7038,1511,505
7068,7038,1511,1009 : 302 : 11750

18273,18206,4038,1009
26830,26799,4038,1009 : 303 : 11758

3369,3201,1726,668
3369,3177,1726,1010 : 304 : 11766

2614,2490,1111,1017
3298,3222,1111,1017 : 305 : 11835

5770,5689,1983,564
5770,5680,1983,1017 : 306 : 11837

16052,16007,3228,1017
16236,16007,5620,1017 : 307 : 11842

18491,18482,2014,1019
18491,17708,9160,1019 : 308 : 11872

29206,28737,10567,1020
29248,28737,10879,1020 : 309 : 11879

1900,1504,1473,639
1972,1504,1473,1023 : 310 : 11901

1710,1513,1151,228
1824,1513,1151,1026 : 311 : 11941

2767,2559,1642,66
2767,2559,1494,1030 : 312 : 11975

5556,5015,3537,1042
